IndicatorCode,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR11,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR13,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR14,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR2,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR3,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR4,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR5,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR7,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR8,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,NTD_LEPR9,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45,WHS3_45
YEAR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GNQ,2.0,,,,5.0,0.0,8.0,2.0,2.0,,5.0,3.0,5.0,0.0,,,,0.0,2.131,8.252,3.991,1.938,0.0,1.55,0.0,0.0,1.0,,0.0,,1.0,,,0.0,,5.433,,,17.75,8.187,8.677,17.571,11.062,6.415,2.447,8.96,2.916,3.17,13.0,,,22.0,15.0,,79.0,18.0,7.0,4.0,15.0,5.0,6.0,17.656,,,26.03365,12.28,,60.353,13.275,4.989,2.447,8.96,2.916,3.17,,,,,0.0,2.0,2.0,5.0,3.0,2.0,0.0,1.0,0.0,,,,,0.0,1.57767,1.52791,3.69,2.14,1.224,0.0,0.583,0.0,0.0,,,,0.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,,,27.0,23.0,27.0,,4.0,,,15.0,5.0,11.0,23.0,15.0,9.0,4.0,15.0,5.0,6.0
GRC,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
GRD,2.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.507,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,18.96,9.443,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.886,0.0,,,,8.972,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,2.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTM,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.337,0.0,,0.172,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.065,0.0,,0.0,0.0,0.348,0.0,,0.17,0.06,0.055,0.0,10.0,4.0,0.0,,1.0,1.0,7.0,2.0,,4.0,2.0,3.0,3.0,0.663,0.259,0.0,,0.06,0.059,0.406,0.114,,0.227,0.11,0.166,0.163,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,3.0,4.0,,3.0,1.0,3.0,3.0,0.0,1.0,0.0,,0.0,0.0,6.0,0.0,,3.0,1.0,1.0,0.0
GUY,7.0,9.0,9.0,12.0,25.0,36.0,21.0,10.0,,8.0,11.0,11.0,5.0,4.285,9.148,8.64,21.845,,22.571,31.422,9.148,,8.657,8.64,6.572,0.0,,,0.0,0.0,,0.0,0.0,1.0,0.0,23.888,25.012,34.84,41.716,67.244,92.877,64.184,34.493,,39.773,35.86,35.634,19.252,64.0,50.0,58.0,37.0,80.0,97.0,,80.0,,32.0,42.0,34.0,17.0,80.466,62.53,72.168,48.23455,103.452,124.702,,102.201,,39.773,51.93,41.778,20.455,5.0,3.0,3.0,10.0,11.0,13.0,13.0,8.0,,6.0,5.0,7.0,6.0,6.6393,3.95738,3.92984,13.01212,14.22471,16.71265,16.68793,10.22,,7.457,6.18,8.601,7.219,1.0,2.0,2.0,5.0,,5.0,7.0,2.0,,2.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,28.0,39.0,26.0,28.0,29.0,26.0,23.0,19.0,20.0,28.0,32.0,52.0,72.0,50.0,27.0,,32.0,29.0,29.0,16.0
HND,1.0,2.0,2.0,1.0,1.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.663,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,,,,0.0,0.0,0.504,0.494,0.242,0.124,0.22,0.216,0.209,0.0,,,,0.0,0.0,9.0,4.0,2.0,1.0,2.0,1.0,1.0,0.0,,,,2.0,0.0,1.134,0.494,0.242,0.12384,0.219,0.108,0.104,0.0,,,,0.189,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,,,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,,,1.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,,,,0.0,0.0
HRV,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0
HTI,,,,,,20.0,17.0,14.0,,13.0,4.0,4.0,13.0,,,,,0.543,1.381,1.653,0.54,,0.27,0.81,1.024,0.0,,0.0,0.0,1.0,,0.0,0.0,0.0,41.0,,,0.0,4.855,1.015,3.278,3.866,3.551,,2.271,1.3,2.047,3.483,,,,163.0,,24.0,32.0,40.0,,3.0,0.0,17.0,37.0,,,0.0,15.2179,,2.186,2.877,3.551,,0.262,0.0,1.45,3.143,,,,,,3.0,3.0,4.0,,1.0,1.0,,11.0,,,,,,0.27319,0.26971,0.36,,0.087,0.09,,0.934,,,,,2.0,5.0,6.0,2.0,,1.0,3.0,5.0,0.0,,,,2.0,0.0,0.0,,0.0,0.0,,0.0,,22.0,29.0,52.0,,26.0,,,,,52.0,11.0,36.0,43.0,40.0,,26.0,15.0,24.0,41.0
HUN,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,0.0,0.0,0.0,,,,,,,0.0,,,0.0,0.0,,0.0,,
IDN,6667.0,6021.0,6370.0,6421.0,6314.0,6043.0,6339.0,6698.0,4145.0,3862.0,4513.0,5155.0,5260.0,31.189,28.219,26.396,26.812,26.588,24.241,25.74,28.318,15.872,16.245,17.65,12.84,20.349,0.0,0.0,,0.0,6.0,,,,0.0,76.941,67.46,67.342,66.787,64.439,60.267,63.574,64.44,40.848,40.095,45.16,51.799,51.847,22390.0,19730.0,19949.0,20160.0,18248.0,18242.0,18529.0,19938.0,13180.0,12316.0,15043.0,17251.0,17475.0,90.698,78.962,78.908,78.27186,69.885,69.101,69.223,73.674,48.186,44.989,54.6,62.158,61.643,2131.0,1694.0,1596.0,1687.0,1363.0,1116.0,1118.0,1121.0,628.0,678.0,762.0,826.0,869.0,8.56225,6.72136,6.25561,6.53465,5.21991,4.22741,4.17678,4.14,2.3,2.477,2.77,2.976,3.065,2191.0,2002.0,1894.0,1930.0,1923.0,1755.0,1861.0,2009.0,1126.0,1133.0,1226.0,1179.0,1419.0,,62.0,62.0,48.0,33.0,30.0,24.0,16.0,28.0,21.0,32.0,19695.0,17682.0,17723.0,17441.0,17260.0,17012.0,20023.0,18994.0,16856.0,17025.0,17202.0,16826.0,15910.0,17017.0,17439.0,11173.0,10976.0,12441.0,14376.0,14698.0
IND,50828.0,46845.0,46379.0,48808.0,53072.0,48821.0,46880.0,44877.0,25437.0,30093.0,40051.0,42831.0,40458.0,35.337,33.111,30.135,30.333,31.576,27.659,24.9,21.607,10.396,11.359,15.58,11.576,13.217,0.0,,0.0,0.0,0.0,0.0,,,,108.962,101.357,99.246,97.118,102.317,94.21,88.962,83.76,47.208,53.563,73.26,75.493,69.581,91743.0,86147.0,88833.0,86028.0,88166.0,90709.0,85302.0,79898.0,57672.0,61678.0,85482.0,85276.0,106213.0,74.185,68.8,70.091,65.61761,66.582,67.735,63.063,58.473,41.791,43.819,60.32,59.691,73.203,4650.0,5256.0,5794.0,5851.0,5245.0,4552.0,3666.0,2761.0,1572.0,1863.0,2363.0,2335.0,1888.0,3.68152,4.11087,4.47808,4.46964,3.96097,3.39909,2.71025,2.02,1.14,1.324,1.67,1.634,1.301,13387.0,12043.0,11365.0,11389.0,11792.0,10287.0,9227.0,7859.0,3753.0,4107.0,5586.0,5582.0,4722.0,,141.0,71.0,,84.0,63.0,35.0,41.0,55.0,43.0,53.0,161457.0,139252.0,137685.0,134184.0,133717.0,126800.0,127295.0,134752.0,126913.0,125785.0,127326.0,135485.0,126164.0,120334.0,114451.0,65147.0,75394.0,103819.0,107851.0,100957.0
IRL,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,,,,,1.0,,,0.0,1.0,,,,0.0,,,,,0.203,,,0.0,0.19,,,,,,,,,,,,0.0,1.0,,,,,,,,,,,,0.0,0.19,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,0.0,,,,,1.0,,,0.0,1.0
IRN,11.0,10.0,8.0,7.0,6.0,5.0,13.0,3.0,0.0,3.0,1.0,5.0,4.0,0.056,0.0,0.055,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,7.0,1.0,2.0,2.0,2.0,2.0,0.275,0.271,0.28,0.215,,0.234,0.355,0.217,0.06,0.114,0.07,0.078,0.12,22.0,19.0,21.0,16.0,13.0,17.0,18.0,12.0,6.0,6.0,6.0,9.0,10.0,0.288,0.245,0.268,0.20225,,0.209,0.22,0.145,0.071,0.068,0.07,0.101,0.109,6.0,9.0,8.0,6.0,3.0,9.0,5.0,6.0,1.0,5.0,2.0,2.0,3.0,0.07848,0.11623,0.10203,0.0756,0.03737,0.11089,0.06112,0.07,0.01,0.057,0.02,0.022,0.033,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,64.0,25.0,35.0,32.0,46.0,36.0,21.0,21.0,22.0,17.0,10.0,19.0,29.0,18.0,5.0,10.0,6.0,7.0,11.0
IRQ,0.0,1.0,0.0,0.0,,,,,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.031,0.089,0.086,0.0,,,,0.051,0.05,0.0,0.07,0.066,0.065,1.0,3.0,3.0,0.0,,,,,2.0,0.0,,3.0,7.0,0.031,0.089,0.086,0.0,,,,,0.05,0.0,,0.066,0.152,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.02,0.044,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,,,,2.0,2.0,0.0,3.0,3.0,3.0
ISL,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,
ISR,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,0.248,,,,,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,5.0,5.0,,3.0,,,,,2.0,,,,,2.0,,,,
ITA,,,,,2.0,1.0,0.0,,,,1.0,,,,,,,0.0,,,,,,0.0,,,11.0,6.0,5.0,,,,2.0,,,,,,,0.202,0.135,0.082,,,,0.05,,,,,,,0.0,1.0,,,,,3.0,,,,,,,0.0,0.017,,,,,0.05,,,,,,,1.0,,0.0,,,,0.0,,,,,,,0.01683,,0.0,,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,2.0,,,5.0,,,,,,12.0,8.0,5.0,,,,3.0,,
JAM,,,,,2.0,,0.0,1.0,0.0,,2.0,0.0,0.0,,,,,0.0,,0.0,2.883,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,,1.735,,0.681,1.696,0.0,,0.71,0.708,0.352,,,,,5.0,,,8.0,5.0,,4.0,3.0,1.0,,,0.0,,1.735,,,2.713,1.689,,1.42,1.062,0.352,,,,,1.0,,,1.0,0.0,,0.0,1.0,0.0,,,,,0.34706,,,0.34,0.0,,0.0,0.354,0.0,,,,,0.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,9.0,6.0,6.0,4.0,7.0,,,,,,,5.0,,2.0,5.0,0.0,,2.0,2.0,1.0
JOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JPN,0.0,1.0,3.0,2.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,3.0,3.0,2.0,4.0,12.0,0.024,0.024,0.039,0.055,0.024,0.016,0.016,0.039,0.03,0.024,0.02,0.032,0.097,0.0,2.0,3.0,5.0,5.0,3.0,2.0,5.0,9.0,4.0,5.0,2.0,13.0,0.0,0.016,0.024,0.0395,0.039,0.024,0.016,0.039,0.07,0.032,0.04,0.016,0.105,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01561,0.00781,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,6.0,7.0,11.0,3.0,2.0,4.0,,3.0,3.0,5.0,7.0,3.0,2.0,2.0,5.0,4.0,3.0,2.0,4.0,12.0
KAZ,,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,0.0,0.055,,0.0,,,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,,,0.0,0.0,0.0,,,,,0.0,0.055,,0.0,,,0.0,0.0,0.0,,,,,0.0,1.0,,0.0,,,0.0,0.0,0.0,,,,,0.0,0.05493,,0.0,,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,0.0,1.0,,0.0,,,0.0,0.0,0.0
KEN,,,,,,,,56.0,,28.0,34.0,26.0,37.0,,,0.41,,,0.197,,0.34,,0.098,0.15,0.149,0.192,,,,,,0.0,0.0,0.0,0.0,,,2.547,,,0.523,,2.187,,1.472,1.65,1.343,1.666,,,32.0,,,129.0,,154.0,,99.0,116.0,96.0,86.0,,,0.703,,,2.596,,2.929,,1.868,2.15,1.742,1.524,,,,,,,,35.0,,15.0,12.0,16.0,19.0,,,,,,,,0.666,,0.283,0.22,0.29,0.337,,,8.0,,,4.0,,7.0,,2.0,3.0,4.0,4.0,,,,,,1.0,,1.0,1.0,2.0,1.0,158.0,190.0,,167.0,157.0,126.0,105.0,,,116.0,,,26.0,,115.0,,78.0,89.0,74.0,94.0
KGZ,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,
KHM,189.0,115.0,80.0,,35.0,42.0,60.0,38.0,11.0,10.0,28.0,14.0,16.0,9.577,6.241,3.91,,2.425,1.198,2.76,1.56,0.58,1.234,1.85,0.629,0.381,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.955,24.645,13.629,,9.77,8.56,9.292,167.292,2.273,2.29,4.23,3.423,2.608,353.0,282.0,183.0,,0.0,120.0,70.0,127.0,39.0,36.0,71.0,101.0,49.0,23.748,18.632,11.877,,,7.497,4.308,230.936,2.333,2.17,4.23,5.961,2.778,46.0,17.0,7.0,,30.0,18.0,22.0,14.0,4.0,15.0,9.0,3.0,5.0,3.11297,1.13162,0.45839,,1.90327,1.12462,1.35386,0.85,0.24,0.9,0.54,0.177,0.283,46.0,32.0,19.0,,12.0,6.0,14.0,8.0,3.0,6.0,9.0,4.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,429.0,376.0,315.0,306.0,351.0,262.0,314.0,475.0,373.0,203.0,,154.0,137.0,151.0,92.0,38.0,38.0,71.0,58.0,46.0
KIR,51.0,72.0,57.0,98.0,112.0,87.0,89.0,74.0,73.0,67.0,54.0,61.0,83.0,550.026,948.992,1096.806,1238.358,2016.438,1126.577,1173.479,877.817,955.689,858.074,1119.42,600.931,899.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,932.651,1338.544,1183.364,1601.096,1905.794,1606.543,1493.349,1156.384,1331.146,1194.966,1150.63,1048.571,1211.734,77.0,105.0,84.0,103.0,115.0,110.0,215.0,32.0,150.0,140.0,166.0,83.0,166.0,763.98,1025.892,808.151,916.18263,1005.35,945.025,1855.896,272.09,1255.798,1086.332,1264.94,621.653,1234.036,1.0,7.0,2.0,12.0,10.0,8.0,5.0,3.0,7.0,4.0,5.0,7.0,2.0,9.3799,64.4977,18.10676,106.75207,87.42176,68.72911,43.16038,25.51,58.6,31.038,38.1,52.429,14.868,21.0,40.0,42.0,48.0,79.0,45.0,48.0,37.0,41.0,40.0,53.0,36.0,42.0,0.0,,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,34.0,41.0,63.0,42.0,96.0,182.0,111.0,94.0,137.0,123.0,180.0,218.0,187.0,173.0,136.0,159.0,154.0,151.0,140.0,163.0
KNA,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
KOR,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,5.0,0.102,0.142,0.121,0.04,0.079,0.059,0.117,0.078,0.06,0.096,0.04,0.058,0.097,255.0,210.0,199.0,190.0,166.0,125.0,129.0,128.0,122.0,94.0,36.0,36.0,22.0,5.204,4.263,4.019,3.77783,3.268,2.452,2.521,2.499,2.36,1.814,0.7,0.695,0.425,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,,0.0,,1.0,0.0,0.02002,0.0598,0.03969,0.01977,0.01969,0.0,0.01954,0.0,,0.0,,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,15.0,15.0,12.0,7.0,5.0,6.0,7.0,5.0,7.0,6.0,2.0,4.0,3.0,6.0,4.0,3.0,5.0,2.0,3.0,5.0
KWT,3.0,6.0,2.0,,2.0,0.0,9.0,,2.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,6.0,9.0,,10.0,8.0,8.0,6.0,6.0,4.922,5.344,2.874,,1.481,1.45,2.175,,2.342,1.882,1.87,1.392,1.216,0.0,0.0,0.0,,6.0,6.0,0.0,,1.0,8.0,4.0,3.0,6.0,0.0,0.0,0.0,,1.481,1.45,0.0,,0.234,1.882,0.94,0.696,1.216,3.0,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.88351,0.55581,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,6.0,,20.0,0.0,1.0,21.0,16.0,16.0,18.0,10.0,,6.0,6.0,9.0,,10.0,8.0,8.0,6.0,6.0
