IndicatorCode,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_IHR_PERCENT,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,FOODSAFETY_JEE_SCORE,IHRSPAR2_C01,IHRSPAR2_C01,IHRSPAR2_C01,IHRSPAR2_C02,IHRSPAR2_C02,IHRSPAR2_C02,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR,SDGIHR2018,SDGIHR2018,SDGIHR2018,SDGIHR2021,SDGIHR2021,SDGIHR2021,SDGIHR2021,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR,UHC_IHR
YEAR,2021,2022,2023,2024,2016,2017,2018,2019,2021,2022,2023,2024,2021,2022,2023,2021,2022,2023,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2010,2011,2012,2013,2014,2015,2016
STP,40.0,40.0,20.0,20.0,,,,1.5,,,,,30.0,40.0,50.0,47.0,53.0,53.0,24.0,22.0,20.0,16.0,16.0,16.0,16.0,15.91339,39.0,32.0,31.0,35.0,38.0,37.7333,47.0,24.0,22.0,20.0,16.0,16.0,18.0,16.0
SUR,20.0,20.0,20.0,20.0,,,,,,,,,60.0,60.0,60.0,47.0,40.0,40.0,,43.0,48.0,61.0,71.0,69.0,72.0,71.0,73.0,57.0,59.0,46.0,46.0,47.1333,40.0,,43.0,48.0,61.0,71.0,72.0,72.0
SVK,20.0,80.0,40.0,40.0,,,,,,,,,60.0,80.0,50.0,80.0,60.0,40.0,64.0,73.0,79.0,96.0,95.0,96.0,95.0,94.85941,69.0,73.0,72.0,64.0,65.0,50.0667,50.0,64.0,73.0,79.0,96.0,95.0,96.0,95.0
SVN,100.0,100.0,100.0,100.0,,5.0,,,,,,,70.0,60.0,60.0,67.0,67.0,67.0,70.0,66.0,58.0,61.0,68.0,75.0,74.0,77.30682,82.0,86.0,,78.0,80.0,80.9333,81.0,70.0,66.0,58.0,61.0,68.0,75.0,74.0
SWE,80.0,80.0,100.0,100.0,,,,,,,,,90.0,90.0,80.0,87.0,87.0,87.0,83.0,88.0,97.0,92.0,92.0,92.0,93.0,92.71128,92.0,92.0,91.0,88.0,88.0,88.0667,90.0,83.0,88.0,97.0,92.0,92.0,92.0,93.0
SWZ,40.0,40.0,40.0,20.0,,,,,,,,,40.0,30.0,60.0,20.0,20.0,73.0,46.0,53.0,40.0,40.0,61.0,52.0,,74.6404,42.0,40.0,46.0,41.0,44.0,64.0,43.0,46.0,53.0,40.0,40.0,61.0,56.0,
SYC,80.0,80.0,80.0,80.0,,,5.0,,,,,,50.0,40.0,40.0,33.0,40.0,40.0,18.0,39.0,42.0,54.0,76.0,82.0,88.0,86.89439,48.0,51.0,56.0,48.0,52.0,55.4,68.0,18.0,39.0,42.0,54.0,76.0,87.0,88.0
SYR,60.0,60.0,60.0,60.0,,,,,,,2.5,,60.0,60.0,60.0,53.0,53.0,20.0,45.0,48.0,58.0,54.0,63.0,,,64.04382,75.0,48.0,49.0,58.0,58.0,41.0,41.0,45.0,48.0,58.0,54.0,63.0,,
TCD,40.0,40.0,20.0,20.0,,1.0,,,,,1.0,,30.0,40.0,20.0,40.0,40.0,27.0,,28.0,,34.0,,39.0,40.0,45.0,29.0,30.0,39.0,40.0,40.0,32.0667,36.0,,28.0,,34.0,,43.0,40.0
TGO,40.0,40.0,40.0,20.0,,,2.0,,,,,1.0,40.0,30.0,30.0,27.0,27.0,40.0,11.0,27.0,,50.0,61.0,67.0,,64.3992,32.0,39.0,45.0,57.0,49.0,51.1333,36.0,11.0,27.0,,50.0,61.0,74.0,
THA,80.0,80.0,80.0,80.0,,3.0,,,,4.0,,,100.0,90.0,90.0,87.0,87.0,87.0,65.0,90.0,82.0,93.0,98.0,,98.0,97.07459,79.0,85.0,85.0,88.0,87.0,87.1333,89.0,65.0,90.0,82.0,93.0,98.0,,98.0
TJK,40.0,40.0,40.0,40.0,,,,2.5,,,,,40.0,20.0,30.0,53.0,73.0,80.0,,80.0,73.0,,94.0,91.0,,,58.0,62.0,,57.0,63.0,65.4667,60.0,,80.0,73.0,,94.0,94.0,
TKM,80.0,80.0,80.0,80.0,5.0,,,,,,,,70.0,70.0,70.0,93.0,93.0,93.0,,81.0,,,84.0,,,,67.0,69.0,68.0,81.0,81.0,80.6,81.0,,81.0,,,84.0,,
TLS,40.0,60.0,60.0,20.0,,,1.5,,,,,,70.0,80.0,80.0,67.0,80.0,80.0,37.0,35.0,44.0,51.0,63.0,65.0,66.0,73.0,44.0,37.0,42.0,60.0,68.0,66.0,51.0,37.0,35.0,44.0,51.0,63.0,71.0,66.0
TON,20.0,80.0,80.0,40.0,,,,,,,,2.0,60.0,60.0,60.0,53.0,80.0,80.0,59.0,48.0,53.0,74.0,,,,,57.0,,65.0,55.0,70.0,69.6667,54.0,59.0,48.0,53.0,74.0,,,
TTO,,80.0,60.0,60.0,,,,,,,,,,60.0,70.0,,73.0,80.0,55.0,,63.0,68.0,70.0,69.0,73.0,71.64085,49.0,53.0,,,65.0,64.8667,66.0,55.0,,63.0,68.0,70.0,71.0,73.0
TUN,80.0,80.0,80.0,100.0,3.0,,,,,,,,40.0,50.0,60.0,80.0,80.0,80.0,,63.0,63.0,56.0,65.0,,55.0,57.42388,66.0,71.0,74.0,66.0,74.0,75.1333,78.0,,63.0,63.0,56.0,65.0,,55.0
TUR,,20.0,,20.0,,,,,,,,,,60.0,60.0,,73.0,80.0,62.0,,82.0,,78.0,,,87.59634,73.0,77.0,88.0,,77.0,75.1333,75.0,62.0,,82.0,0.0,78.0,,
TUV,80.0,,,60.0,,,,,,,,,60.0,,,40.0,,,,,91.0,83.0,,89.0,,54.15183,54.0,,48.0,61.0,,,53.0,,,91.0,83.0,,89.0,
TZA,40.0,80.0,80.0,80.0,,,,,,,2.5,,40.0,30.0,30.0,60.0,53.0,73.0,,51.0,49.0,53.0,58.0,66.0,,69.14708,47.0,51.0,51.0,56.0,58.0,63.0,63.0,,51.0,49.0,53.0,58.0,67.0,
UGA,40.0,40.0,40.0,40.0,,2.0,,,,,2.0,,80.0,80.0,60.0,73.0,73.0,73.0,36.0,58.0,47.0,73.0,,,,58.39556,51.0,66.0,69.0,68.0,65.0,60.2,61.0,36.0,58.0,47.0,73.0,,,
UKR,80.0,80.0,80.0,80.0,,,,,3.0,,,,50.0,80.0,60.0,60.0,60.0,73.0,,,,,,97.0,,50.0,75.0,66.0,69.0,65.0,69.0,74.8667,75.0,,,,,,99.0,
URY,20.0,40.0,60.0,60.0,,,,,,,,,20.0,70.0,80.0,67.0,67.0,60.0,,,,89.0,,83.0,82.0,87.3195,85.0,84.0,80.0,65.0,70.0,77.3333,76.0,,,,89.0,,84.0,82.0
USA,100.0,100.0,100.0,100.0,,,,,,,,5.0,80.0,80.0,80.0,93.0,93.0,93.0,87.0,88.0,96.0,96.0,97.0,97.0,96.0,100.0,91.0,92.0,92.0,91.0,91.0,90.5333,84.0,87.0,88.0,96.0,96.0,97.0,91.0,96.0
UZB,40.0,60.0,40.0,60.0,,,,,,2.5,,,80.0,70.0,60.0,73.0,73.0,60.0,,90.0,,,83.0,,,,44.0,57.0,55.0,65.0,70.0,61.9333,73.0,,90.0,,,83.0,,
VCT,20.0,40.0,40.0,20.0,,,,,,,,,20.0,30.0,30.0,20.0,47.0,47.0,,,35.0,58.0,49.0,35.0,65.0,,45.0,49.0,,22.0,59.0,59.2667,56.0,,,35.0,58.0,49.0,35.0,65.0
VEN,80.0,80.0,60.0,80.0,,,,,,,,,30.0,90.0,50.0,80.0,80.0,53.0,,46.0,78.0,84.0,87.0,90.0,94.0,94.30275,74.0,70.0,74.0,75.0,77.0,46.1333,75.0,,46.0,78.0,84.0,87.0,95.0,94.0
VNM,40.0,40.0,20.0,40.0,3.0,,,,,,,,60.0,50.0,50.0,60.0,60.0,53.0,73.0,69.0,65.0,77.0,96.0,99.0,99.0,95.21181,61.0,66.0,72.0,64.0,52.0,53.7333,56.0,73.0,69.0,65.0,77.0,96.0,99.0,99.0
VUT,80.0,60.0,60.0,40.0,,,,,,,,,60.0,40.0,30.0,80.0,27.0,33.0,8.0,,11.0,68.0,,44.0,,34.69003,34.0,,55.0,74.0,54.0,56.2667,50.0,8.0,,11.0,68.0,,43.0,
WPR,,,,59.0,,,,,,,,,66.818184,73.684212,58.46154,67.772728,72.947365,67.115387,,,,,,,,79.4,64.0,70.0,70.0,68.506058,71.884209,65.397438,65.0,,,,,,,
WSM,40.0,40.0,40.0,40.0,,,,,,,1.0,,80.0,100.0,30.0,33.0,40.0,47.0,,67.0,58.0,71.0,76.0,75.0,,,73.0,,,49.0,50.66666667,45.9333,47.0,,67.0,58.0,71.0,76.0,75.0,
YEM,40.0,20.0,20.0,40.0,,,,,,,1.0,,30.0,50.0,30.0,60.0,33.0,20.0,,,48.0,43.0,46.0,,,48.32332,49.30769231,49.30769231,49.0,55.0,40.0,27.6,36.0,,,48.0,43.0,46.0,,
ZAF,80.0,80.0,20.0,80.0,,3.0,,,,,,0.0,20.0,20.0,20.0,47.0,40.0,40.0,66.0,80.0,75.0,76.0,100.0,100.0,,90.58858,66.0,70.0,79.0,68.0,73.0,63.0667,63.0,66.0,80.0,75.0,76.0,100.0,100.0,
ZMB,80.0,80.0,80.0,80.0,,2.0,,,,,2.0,,30.0,60.0,50.0,53.0,60.0,47.0,,66.0,77.0,91.0,92.0,,,63.72115,31.0,60.0,58.0,56.0,59.0,56.4,55.0,,66.0,77.0,91.0,92.0,,
ZWE,80.0,80.0,80.0,80.0,,,2.0,,,,,,50.0,60.0,60.0,60.0,73.0,80.0,,48.0,,,68.0,,73.0,72.26451,55.0,50.0,52.0,59.0,67.0,66.3333,55.0,,48.0,,0.0,68.0,,73.0
