IndicatorCode,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHCNUM_IM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM,NTD_LEISHVNUM_IM
YEAR,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
DZA,30227.0,14379.0,6764.0,8442.0,10666.0,10173.0,11742.0,7418.0,6428.0,5423.0,7523.0,10678.0,13106.0,10847.0,10293.0,11566.0,7051.0,5744.0,7557.0,13599.0,0.0,0.0,,,,,,,,,0.0,0.0,112.0,147.0,112.0,84.0,84.0,87.0,89.0,53.0,54.0,30.0,38.0,74.0,34.0,40.0,46.0,33.0,30.0,36.0,51.0,35.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,,0.0
ECU,1925.0,1536.0,1185.0,1479.0,1735.0,1629.0,1385.0,1512.0,873.0,1175.0,1479.0,1197.0,1632.0,1237.0,1040.0,1025.0,1225.0,875.0,1036.0,1172.0,,,,0.0,0.0,0.0,64.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,
EGY,,,,471.0,174.0,318.0,864.0,1260.0,464.0,1444.0,2243.0,643.0,566.0,1161.0,1811.0,2239.0,883.0,800.0,720.0,476.0,,13.0,30.0,6.0,5.0,,,19.0,12.0,,27.0,62.0,,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,,0.0,0.0,,2.0,4.0
ERI,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,129.0,131.0,129.0,104.0,,,,,,,,,,502.0,514.0,187.0,190.0,265.0,376.0,311.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0
ESP,16.0,6.0,6.0,16.0,10.0,10.0,10.0,18.0,,100.0,40.0,167.0,165.0,35.0,70.0,37.0,43.0,,34.0,,,,,20.0,20.0,8.0,16.0,8.0,4.0,,9.0,,199.0,246.0,255.0,193.0,179.0,153.0,235.0,213.0,276.0,106.0,,176.0,196.0,69.0,78.0,49.0,52.0,,36.0,,,,,1.0,3.0,0.0,0.0,0.0,0.0,,1.0,
ETH,,,,,,,225.0,95.0,85.0,342.0,534.0,425.0,1011.0,882.0,1665.0,1101.0,716.0,984.0,1505.0,1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2585.0,2375.0,1579.0,1356.0,1083.0,1936.0,2032.0,2381.0,1732.0,2705.0,1990.0,1593.0,1490.0,1828.0,1360.0,1077.0,794.0,919.0,1482.0,1434.0,0.0,116.0,73.0,9.0,34.0,38.0,7.0,7.0,0.0,,0.0,0.0
FIN,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
FRA,0.0,3.0,3.0,4.0,2.0,8.0,6.0,5.0,5.0,8.0,5.0,,4.0,5.0,14.0,34.0,,,,,88.0,76.0,105.0,74.0,128.0,176.0,168.0,170.0,,,,,19.0,16.0,22.0,17.0,14.0,5.0,25.0,10.0,8.0,11.0,8.0,8.0,15.0,17.0,22.0,26.0,,,,,9.0,5.0,10.0,16.0,9.0,5.0,14.0,11.0,,,,
GBR,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,
GEO,5.0,2.0,1.0,11.0,3.0,5.0,6.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,174.0,182.0,171.0,169.0,141.0,123.0,106.0,117.0,55.0,64.0,49.0,38.0,52.0,47.0,42.0,15.0,18.0,32.0,12.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0
