IndicatorCode,HEPATITIS_DEATHS_RATE,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_ADDEDTEST_ANC_PERCENT,HEPATITIS_HBV_DEATHS_NUM,HEPATITIS_HBV_DIAGNOSED_NUM,HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,HEPATITIS_HBV_INFECTIONS_NEW_NUM,HEPATITIS_HBV_LIVINGWITH_NUM,HEPATITIS_HBV_PREVALENCE_PER100,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTING_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_ANC_PERCENT,HEPATITIS_HBV_TREATMENT_NUM,HEPATITIS_HBV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100,HEPATITIS_HCV_DEATHS_NUM,HEPATITIS_HCV_DIAGNOSED_CRD_NUM,HEPATITIS_HCV_DIAGNOSED_NUM,HEPATITIS_HCV_DIAGNOSIS_PERINFECTED_CRD_PER100,HEPATITIS_HCV_INFECTIONS_NEW_NUM,HEPATITIS_HCV_LIVINGWITH_CRD_NUM,HEPATITIS_HCV_LIVINGWITH_NUM,HEPATITIS_HCV_PREVALENCE_PER100,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_HIV_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TESTING_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_CUM_NUM,HEPATITIS_HCV_TREATMENT_CUM_PERINFECTED_CRD_PER100,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_HIV_PERCENT,HEPATITIS_HCV_TREATMENT_INITIATED_NUM,HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPATITIS_HCV_TREATMENT_PWID_PERCENT,HEPB_HBSAG_CARRIER,HEPB_HBSAG_CARRIER,PRISON_D4_HEPB_DIAG_TOT,PRISON_D4_HEPC_DIAG_TOT,SDGHEPHBSAGPRV,SDGHEPHBSAGPRV,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117,WHS4_117
YEAR,2022,2021,2022,2023,2022,2022,2022,2022,2022,2022,2021,2022,2023,2021,2022,2023,2021,2022,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2020,2021,2022,2023,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2022,2022,2020,2021,2022,2023,2015,2020,2020,2020,2015,2020,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
MWI,14.78,,,,2539.0,41265.0,7.0,2680.0,560872.0,2.7,,,48.0,,,1.0,,,,3119.0,8.0,1.0,500.0,23221.0,16361.0,16.0,2855.0,142941.0,136081.0,0.7,,,,,,,,,7221.0,5.0,,,,,2117.0,31.0,,,,,638.5,511.65000000000003,,,4.95,3.2649999999999997,0.0,0.0,64.0,84.0,89.0,93.0,99.0,87.0,91.0,93.0,93.0,97.0,96.0,89.0,91.0,88.0,84.0,88.0,92.0,95.0,94.0,93.0,86.0,91.0,91.0
MYS,2.37,,,,109.0,34755.0,9.0,5230.0,396690.0,1.7,,,,,,,,,,14846.0,43.0,4.0,713.0,54298.0,36989.0,10.0,1568.0,533985.0,516676.0,0.2,81.2,97.2,67.3,83.2,86.8,79.5,78.7,90.6,18220.0,3.0,9.3,12.7,20.8,27.3,2478.0,34.0,10.6,11.6,17.0,21.7,166.0,197.35000000000002,,,0.65,0.635,97.0,95.0,95.0,95.0,94.0,96.0,95.0,96.0,97.0,96.0,96.0,96.0,97.0,96.0,96.0,99.0,98.0,98.0,99.0,97.0,99.0,94.0,96.0,95.0,93.0
NAM,19.49,,,,471.0,22413.0,16.0,630.0,142736.0,5.6,,,,,,,,,,199.0,1.0,0.0,92.0,2498.0,2428.0,24.0,141.0,10476.0,10406.0,0.4,,,,,,,,,74.0,1.0,,,,,11.0,3.0,,,,,28.0,71.19999999999999,,,1.4500000000000002,2.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,82.0,84.0,89.0,88.0,92.0,85.0,88.0,89.0,87.0,93.0,94.0,84.0,83.0,74.0
NER,44.2,,0.0,4.8,10359.0,28588.0,1.0,43850.0,2640230.0,10.1,,7.4,9.7,,4.8,2.2,,0.0,1.0,1703.0,6.0,0.0,830.0,16694.0,13991.0,8.0,4313.0,201315.0,198612.0,0.7,0.0,,,,0.0,,,,2846.0,1.0,0.0,,,,335.0,17.0,0.0,,,,1279.5,1396.7,,,8.8,7.1499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,70.0,75.0,73.0,75.0,82.0,84.0,80.0,85.0,79.0,81.0,81.0,82.0,84.0,85.0,86.0
NGA,23.21,,,,46144.0,81030.0,1.0,299334.0,14384770.0,6.6,13.3,12.6,14.4,3.3,2.5,1.6,,,,7834.0,10.0,0.0,5652.0,61646.0,52801.0,5.0,27596.0,1357901.0,1349056.0,0.6,,0.3,0.1,0.0,,,,,9311.0,1.0,,,,,265.0,15.0,,,,,5389.0,6338.4,,,4.05,4.305,0.0,0.0,0.0,0.0,8.0,18.0,27.0,42.0,53.0,63.0,49.0,45.0,42.0,43.0,43.0,42.0,53.0,55.0,61.0,66.0,62.0,61.0,59.0,67.0,67.0
NIC,8.2,,,,322.0,3530.0,7.0,80.0,51643.0,0.7,,,,,,,,,,191.0,5.0,0.0,230.0,5843.0,4794.0,15.0,413.0,38682.0,37632.0,0.5,,18.3,14.3,,,0.0,0.0,,1105.0,3.0,,,100.0,100.0,75.0,19.0,,,0.0,0.0,13.0,16.35,,,0.25,0.285,,,,,,,,,,,,,,,,,,,,,,,,,
NIU,29.72,,,,0.0,6.0,6.0,1.0,111.0,5.8,,,,,,,,,,0.0,2.0,0.0,0.0,2.0,2.0,10.0,1.0,19.0,19.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.05,,,1.0,3.45,99.0,99.0,99.0,95.0,99.0,86.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
NLD,,,,,,,0.0,,48756.0,0.3,,,,,,,,,,4750.0,,10.0,,,,,,,6183.0,0.0,,,,,,,,,7964.0,,,,,,512.0,,,,,,7.0,38.050000000000004,,,0.05,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,51.0,95.0,94.0,93.0,92.0,92.0,92.0,93.0,93.0,88.0,86.0,89.0
NOR,0.99,,,,53.0,115000.0,100.0,4.0,16375.0,0.3,,,,,,,,,,1354.0,1.0,8.0,2.0,23777.0,4029.0,82.0,50.0,28912.0,9164.0,0.2,,,,,,,,,20787.0,72.0,,,,,744.0,87.0,,,,,0.5,0.6000000000000001,,,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,97.0,96.0,96.0,96.0,96.0
NPL,3.11,,,,594.0,28655.0,8.0,2023.0,359298.0,1.2,,,,,,,,,,1157.0,4.0,0.0,331.0,21102.0,16134.0,13.0,4799.0,158659.0,153690.0,0.4,,,0.3,0.1,,,6.5,0.0,5230.0,3.0,,,,50.0,90.0,25.0,,,,,128.5,119.9,,,0.6,0.48500000000000004,0.0,0.0,0.0,2.0,27.0,41.0,69.0,82.0,82.0,89.0,82.0,92.0,90.0,92.0,92.0,91.0,87.0,90.0,91.0,93.0,84.0,91.0,90.0,94.0,97.0
NRU,30.04,,,,3.0,42.0,,9.0,730.0,5.8,,,,,,,,,,1.0,2.0,0.0,0.0,12.0,12.0,10.0,3.0,126.0,126.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.5,0.6,,,7.1499999999999995,5.75,58.0,95.0,75.0,77.0,78.0,80.0,99.0,99.0,99.0,99.0,99.0,99.0,79.0,87.0,95.0,91.0,97.0,87.0,90.0,96.0,95.0,98.0,97.0,97.0,97.0
NZL,17.29,,,,609.0,58164.0,67.0,18.0,86603.0,,,,,,,,,,,6136.0,11.0,7.0,276.0,34745.0,24679.0,69.0,586.0,50484.0,40418.0,0.4,,,,,,,,,10595.0,21.0,,,,,810.0,30.0,,,,,73.0,81.45,,,2.15,2.05,90.0,90.0,89.0,89.0,88.0,87.0,87.0,88.0,90.0,93.0,90.0,95.0,93.0,93.0,93.0,92.0,92.0,94.0,93.0,92.0,92.0,90.0,89.0,88.0,89.0
OMN,4.92,,,,185.0,9241.0,8.0,74.0,112358.0,2.5,,,,,,,,,,500.0,5.0,0.0,48.0,5461.0,2600.0,29.0,398.0,18540.0,15679.0,0.3,92.8,87.9,85.7,87.8,0.0,100.0,80.0,0.0,3012.0,16.0,0.0,20.0,50.0,0.0,279.0,55.0,0.0,50.0,66.7,0.0,73.0,79.25,,,1.8,1.6099999999999999,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
PAK,24.73,,,,10260.0,1103325.0,29.0,15068.0,3796372.0,1.6,,,,,,,,,,130870.0,12.0,3.0,50000.0,3906297.0,1902877.0,36.0,110000.0,10794232.0,8790812.0,4.1,,,,,,,,,2108863.0,20.0,,,,,179750.0,54.0,,,,,5656.5,3453.85,,,4.199999999999999,1.96,0.0,0.0,0.0,62.0,62.0,65.0,60.0,54.0,53.0,52.0,52.0,63.0,64.0,65.0,69.0,72.0,75.0,75.0,80.0,84.0,80.0,83.0,85.0,86.0,87.0
PAN,2.62,,47.8,100.0,44.0,3760.0,29.0,21.0,13132.0,0.3,,20.4,34.9,,0.4,0.5,,2.4,100.0,124.0,3.0,1.0,71.0,267.0,237.0,2.0,371.0,14426.0,14397.0,0.3,,,0.2,16.9,,,0.0,0.0,31.0,0.0,,,40.0,0.0,2.0,11.0,,,0.0,,26.0,25.45,,,0.75,0.62,0.0,98.0,98.0,98.0,95.0,92.0,88.0,85.0,86.0,85.0,94.0,87.0,85.0,80.0,80.0,73.0,86.0,81.0,88.0,88.0,74.0,87.0,82.0,71.0,72.0
PER,2.02,,0.0,0.0,365.0,24943.0,17.0,361.0,146893.0,0.4,54.0,67.4,86.5,0.4,0.3,0.2,,0.0,0.0,2106.0,8.0,1.0,310.0,3003.0,2507.0,5.0,814.0,58253.0,57756.0,0.2,,,,40.3,,,,0.0,522.0,1.0,,,,66.7,237.0,17.0,,,,0.0,240.5,191.29999999999998,,,0.85,0.61,0.0,0.0,0.0,65.0,92.0,94.0,94.0,93.0,93.0,93.0,93.0,91.0,95.0,88.0,88.0,90.0,90.0,89.0,89.0,88.0,72.0,82.0,82.0,84.0,80.0
PHL,18.94,,,,18583.0,632280.0,11.0,31609.0,5660072.0,4.9,,,,2.5,2.7,2.3,,,,11700.0,2.0,0.0,3001.0,83358.0,80736.0,19.0,8939.0,430092.0,427470.0,0.4,,,,,,,,,2760.0,1.0,,,,,636.0,3.0,,,,,1890.5,1938.8,,,2.35,1.94,7.0,45.0,42.0,52.0,48.0,49.0,77.0,87.0,87.0,88.0,88.0,89.0,89.0,84.0,79.0,74.0,84.0,83.0,83.0,82.0,81.0,67.0,82.0,87.0,71.0
PLW,28.45,,,,4.0,59.0,,13.0,1040.0,5.8,,,,,,,,,,1.0,2.0,0.0,1.0,17.0,17.0,10.0,5.0,180.0,180.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.1,,,0.7999999999999999,0.4,96.0,98.0,99.0,99.0,98.0,98.0,98.0,91.0,92.0,69.0,80.0,91.0,89.0,99.0,99.0,90.0,98.0,98.0,98.0,98.0,93.0,96.0,95.0,98.0,99.0
PNG,27.95,,,,2390.0,28374.0,5.0,8545.0,593071.0,5.8,,,,,,,,,,57.0,0.0,0.0,462.0,11896.0,11896.0,12.0,2856.0,101947.0,101947.0,1.1,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,172.5,270.15000000000003,,,3.8000000000000003,3.615,57.0,59.0,60.0,67.0,60.0,63.0,69.0,58.0,55.0,64.0,55.0,58.0,57.0,59.0,52.0,49.0,46.0,36.0,35.0,35.0,40.0,32.0,37.0,35.0,42.0
POL,,,,,,,0.0,,220820.0,0.6,,,,,,,,,,8541.0,,4.0,,,56850.0,,,,108210.0,0.3,,,,,,,,,46900.0,,,,,,5820.0,,,,,,61.5,71.15,18.0,227.0,0.15,0.195,99.0,95.0,98.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,96.0,96.0,95.0,93.0,91.0,91.0,90.0,89.0,90.0,90.0,87.0
PRK,27.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.0,827.5,,,2.45,3.305,0.0,0.0,0.0,27.0,98.0,92.0,96.0,92.0,92.0,93.0,93.0,94.0,96.0,93.0,93.0,96.0,96.0,97.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0
PRT,,,,,,,0.0,,41527.0,0.4,,,,,,,,,,,,0.0,,,,,,,40000.0,0.4,,,,,,,,,31944.0,,,,,,,,,,,,46.0,37.15,182.0,965.0,0.5,0.375,58.0,70.0,82.0,94.0,94.0,94.0,97.0,97.0,97.0,96.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0
PRY,3.0,,,,109.0,5280.0,16.0,106.0,33914.0,0.5,61.2,76.0,59.8,0.1,,0.2,,,,40.0,1.0,0.0,94.0,8136.0,2870.0,37.0,127.0,22255.0,16989.0,0.3,0.5,0.0,,,0.0,0.0,,,5543.0,25.0,,,,,493.0,68.0,,,,,60.0,76.1,,,1.25,1.255,0.0,0.0,0.0,86.0,90.0,92.0,92.0,86.0,87.0,85.0,91.0,91.0,91.0,90.0,93.0,92.0,92.0,91.0,88.0,86.0,79.0,70.0,69.0,71.0,80.0
PSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.65,,,,0.675,95.0,92.0,91.0,97.0,96.0,99.0,97.0,98.0,96.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,95.0,99.0,91.0,91.0
QAT,6.61,,,,91.0,8516.0,28.0,51.0,30160.0,1.1,,,,,,,,,,695.0,8.0,2.0,84.0,14949.0,12396.0,33.0,1526.0,44722.0,42170.0,1.5,88.0,87.1,,92.9,,0.0,,0.0,2687.0,6.0,100.0,0.0,100.0,100.0,130.0,18.0,,0.0,,0.0,16.0,17.650000000000002,,,0.7999999999999999,0.635,89.0,93.0,98.0,93.0,97.0,97.0,96.0,94.0,97.0,99.0,97.0,93.0,93.0,97.0,89.0,99.0,98.0,97.0,98.0,98.0,89.0,98.0,98.0,95.0,96.0
ROU,,,,,,942.0,0.0,,962571.0,5.1,,,,,,,,,,19594.0,100.0,2.0,,,58000.0,,,,136999.0,0.7,,,,,,,,,,,,,,,5901.0,,,,,,470.5,395.35,888.0,1017.0,2.75,2.195,98.0,98.0,99.0,98.0,99.0,98.0,99.0,99.0,97.0,95.0,98.0,96.0,96.0,96.0,94.0,90.0,90.0,92.0,93.0,90.0,87.0,86.0,85.0,79.0,79.0
RUS,9.29,,,,8477.0,496790.0,30.0,9297.0,1650951.0,1.1,,,,,,,,,,2971.0,1.0,0.0,4927.0,1172160.0,1028538.0,42.0,33877.0,2807219.0,2663597.0,1.9,,,,,,,,,151181.0,5.0,,,,,28079.0,13.0,,,,,2081.0,2363.5,,,1.9,1.875,0.0,43.0,81.0,94.0,96.0,97.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
RWA,6.47,,,,706.0,138512.0,67.0,8115.0,207232.0,1.6,,,,,,,,,,8258.0,6.0,4.0,177.0,213947.0,157276.0,100.0,3352.0,118841.0,62170.0,0.5,0.9,0.8,2.0,0.6,,,,,59654.0,50.0,,,,100.0,23098.0,28.0,,,,,277.0,156.45000000000002,,,3.1,1.415,0.0,0.0,88.0,96.0,89.0,95.0,99.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,98.0,91.0,88.0,98.0,94.0,98.0
SAU,8.37,,,75.9,2402.0,60191.0,10.0,273.0,575956.0,0.8,,95.0,93.5,,0.1,0.1,,,5.3,6002.0,10.0,1.0,292.0,53947.0,30717.0,43.0,1943.0,124150.0,100920.0,0.1,,,100.0,99.4,,,,,24452.0,20.0,,,0.0,100.0,3750.0,45.0,,,,,328.0,9.4,,,1.2,0.025,93.0,95.0,97.0,95.0,96.0,97.0,96.0,96.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,95.0,97.0,98.0,97.0,97.0
SDN,8.45,,,,3299.0,241093.0,12.0,15376.0,2019584.0,4.3,,,,,,,,,,34121.0,14.0,2.0,875.0,75859.0,55684.0,14.0,11876.0,531211.0,511036.0,1.1,,,,,,,,,21236.0,4.0,,,,,1.0,28.0,,,,,1585.5,1689.25,,,5.2,4.56,0.0,0.0,0.0,0.0,0.0,22.0,60.0,78.0,78.0,72.0,75.0,93.0,92.0,93.0,94.0,93.0,93.0,95.0,93.0,93.0,90.0,84.0,84.0,51.0,39.0
SEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27061.5,,,0.7,1.515,10.0,9.0,9.0,11.0,18.0,24.0,28.0,30.0,47.0,53.0,53.0,56.0,75.0,75.0,82.0,88.0,89.0,90.0,90.0,91.0,86.0,83.0,93.0,90.0,92.0
SEN,30.05,,,,4755.0,10402.0,1.0,2569.0,917427.0,5.3,,35.3,,,4.0,,,,,961.0,9.0,0.0,548.0,11282.0,9633.0,9.0,2861.0,131530.0,129880.0,0.7,,,,,,,,,1736.0,1.0,,,,,193.0,15.0,,,,,664.0,627.5,,,5.85,4.14,0.0,0.0,0.0,0.0,54.0,84.0,89.0,94.0,88.0,86.0,89.0,92.0,91.0,92.0,89.0,89.0,93.0,93.0,92.0,91.0,83.0,85.0,93.0,92.0,91.0
SGP,24.44,,,17.1,1002.0,1629.0,1.0,41.0,130514.0,2.2,,,46.5,,,0.7,,,,500.0,31.0,0.0,376.0,29606.0,16737.0,95.0,116.0,31320.0,18451.0,0.3,99.3,99.1,98.0,93.9,100.0,100.0,100.0,100.0,13547.0,43.0,59.6,72.5,54.8,56.7,478.0,46.0,90.0,69.2,75.0,66.7,73.5,78.60000000000001,,,1.55,1.405,97.0,95.0,95.0,95.0,94.0,96.0,95.0,96.0,97.0,96.0,96.0,96.0,97.0,97.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,96.0,97.0,96.0
SLB,36.87,,,,258.0,3430.0,6.0,334.0,60022.0,8.3,,,,,,,,,,78.0,2.0,0.0,30.0,755.0,755.0,10.0,191.0,7293.0,7293.0,1.0,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,32.5,30.75,,,6.9,4.845,81.0,83.0,75.0,79.0,81.0,83.0,99.0,90.0,89.0,91.0,87.0,92.0,92.0,83.0,77.0,87.0,94.0,83.0,85.0,94.0,94.0,87.0,89.0,84.0,87.0
SLE,29.86,,,,2199.0,4006.0,1.0,2506.0,525971.0,13.5,,,,,,,,,,578.0,14.0,0.0,272.0,5617.0,4787.0,9.0,1422.0,65109.0,64279.0,0.7,,,,,,,,,874.0,1.0,,,,,96.0,16.0,,,,,642.5,328.95,,,13.4,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,77.0,84.0,86.0,89.0,91.0,92.0,83.0,86.0,84.0,90.0,93.0,95.0,91.0,92.0,91.0,91.0,91.0
SLV,5.93,,,,279.0,2915.0,5.0,51.0,55442.0,0.9,,,,,,,,,,567.0,19.0,1.0,94.0,966.0,938.0,7.0,74.0,14798.0,14771.0,0.2,,,,,,,,,29.0,0.0,,,,,5.0,3.0,,,,,57.0,12.0,,,1.2,0.195,99.0,75.0,81.0,94.0,90.0,89.0,96.0,99.0,98.0,91.0,89.0,89.0,92.0,92.0,94.0,94.0,98.0,92.0,89.0,96.0,89.0,97.0,95.0,96.0,95.0
SMR,4.55,,,,1.0,49.0,31.0,0.0,158.0,0.5,,,,,,,,,,15.0,30.0,9.0,1.0,115.0,50.0,69.0,1.0,166.0,102.0,0.3,,,,,,,,,68.0,41.0,,,,,4.0,59.0,,,,,0.0,0.1,0.0,0.0,0.5,0.29500000000000004,97.0,96.0,96.0,96.0,95.0,95.0,92.0,91.0,91.0,89.0,89.0,92.0,88.0,83.0,83.0,84.0,86.0,82.0,78.0,87.0,89.0,90.0,91.0,91.0,88.0
SOM,8.88,,,,1141.0,1702.0,0.0,12218.0,909909.0,5.2,,,,,,,,,,111.0,7.0,0.0,439.0,56.0,56.0,0.0,2462.0,117953.0,117953.0,0.7,,,,,,,,,0.0,0.0,,,,,1826.0,0.0,,,,,829.5,1132.3,,,12.0,9.725000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,46.0,48.0,49.0,51.0,53.0,57.0,55.0,62.0,71.0,69.0,70.0
SRB,11.11,,,,481.0,27351.0,23.0,127.0,118750.0,1.6,,,,,,,,,,1541.0,6.0,1.0,260.0,21148.0,10974.0,33.0,921.0,63210.0,53036.0,0.6,,,,,,,,,10710.0,17.0,,,,,989.0,51.0,,,,,43.0,61.7,,,0.55,0.725,0.0,0.0,0.0,0.0,89.0,65.0,93.0,99.0,93.0,93.0,89.0,94.0,97.0,91.0,92.0,94.0,91.0,93.0,91.0,94.0,87.0,89.0,92.0,93.0,93.0
SSD,20.23,,,,1963.0,54742.0,7.0,9232.0,744050.0,9.9,2.4,4.4,,3.6,5.0,,,,,3780.0,7.0,1.0,268.0,12541.0,8750.0,17.0,1527.0,75881.0,72090.0,0.7,,,,,,,,,3990.0,5.0,,,,,1132.0,32.0,,,,,1573.5,1123.55,,,21.65,15.559999999999999,,,,,,,,,,,,0.0,0.0,0.0,0.0,46.0,45.0,52.0,59.0,61.0,67.0,69.0,73.0,73.0,73.0
STP,48.93,,,,104.0,496.0,2.0,74.0,21073.0,9.3,,,,,,,,,,78.0,16.0,0.0,7.0,149.0,126.0,9.0,38.0,1718.0,1695.0,0.7,,,,,,,,,23.0,1.0,,,,,3.0,16.0,,,,,3.0,6.6000000000000005,,,2.45,3.5700000000000003,0.0,0.0,0.0,43.0,70.0,96.0,75.0,87.0,99.0,98.0,98.0,96.0,96.0,97.0,95.0,96.0,96.0,95.0,95.0,95.0,96.0,97.0,92.0,87.0,87.0
SUR,9.89,,,,37.0,1048.0,9.0,19.0,11402.0,1.8,,,,,,,,,,26.0,2.0,0.0,24.0,1502.0,1370.0,38.0,56.0,3930.0,3798.0,0.6,,,,,,,,,139.0,4.0,,,,,10.0,9.0,,,,,4.5,3.65,,,1.05,0.66,0.0,0.0,0.0,0.0,0.0,83.0,84.0,84.0,84.0,87.0,84.0,80.0,76.0,76.0,71.0,73.0,77.0,67.0,81.0,77.0,51.0,72.0,77.0,72.0,69.0
SVK,,,,,,1600.0,,,,,,,,,,,,,,,0.0,,,,4884.0,,,,27407.0,0.5,,,,,,,,,837.0,,,,,,259.0,,,,,,50.5,48.650000000000006,25.0,383.0,1.2,1.04,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0
SVN,,,,,,2782.0,,,,,,,,,,,,,,999.0,36.0,,,,4191.0,,,,1078.0,0.1,,,,,,,,,3062.0,,,,,,117.0,,,,,,11.5,14.15,,,1.05,1.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,89.0,89.0,90.0
SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12759.0,0.1,,,,,,,,,,,,,,,,,,,,,32.0,29.75,,,0.44999999999999996,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,30.0,35.0,42.0,53.0,67.0,76.0,92.0,97.0,97.0,98.0,94.0,94.0,95.0
SWZ,52.88,,,,602.0,16376.0,16.0,403.0,104289.0,8.7,,43.6,38.4,,1.1,0.7,,48.4,47.9,970.0,6.0,1.0,43.0,1170.0,1137.0,24.0,66.0,4872.0,4838.0,0.4,,,,,,,,,35.0,1.0,,,,,5.0,3.0,,,,,13.5,20.150000000000002,,,1.5,2.1,83.0,86.0,88.0,90.0,93.0,95.0,93.0,92.0,90.0,88.0,89.0,91.0,95.0,98.0,98.0,90.0,90.0,90.0,90.0,90.0,83.0,77.0,97.0,85.0,84.0
SYC,19.92,100.0,0.0,0.0,21.0,651.0,12.0,36.0,5588.0,5.2,100.0,100.0,100.0,0.1,0.0,0.0,100.0,0.0,0.0,21.0,3.0,0.0,3.0,105.0,80.0,17.0,14.0,616.0,591.0,0.6,89.1,66.3,64.3,68.2,80.0,62.5,41.7,0.0,27.0,4.0,20.0,37.5,20.0,57.1,3.0,25.0,23.1,37.5,20.0,57.1,0.0,0.2,,,0.30000000000000004,0.275,97.0,95.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,98.0,98.0,99.0,97.0,96.0,97.0,99.0,99.0,97.0,94.0,97.0,97.0,94.0
SYR,17.87,,,,2896.0,128308.0,11.0,19724.0,1121632.0,1.7,,,,,,,,,,21690.0,17.0,2.0,1119.0,162152.0,133484.0,51.0,7313.0,317435.0,288767.0,1.3,,,,,,,,,30177.0,10.0,,,,,3276.0,19.0,,,,,107.5,130.2,,,0.75,1.0499999999999998,79.0,80.0,80.0,81.0,82.0,83.0,83.0,83.0,83.0,84.0,84.0,66.0,52.0,80.0,56.0,50.0,59.0,61.0,60.0,67.0,62.0,59.0,59.0,66.0,73.0
