IndicatorCode,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_MILLIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,FINANCIALHARDSHIP_PROPORTIONOFPOP,UHC_AVAILABILITY_SCORE,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_INDEX_REPORTED,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_CAPACITY,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_INFECT,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_NCD,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH,UHC_SCI_RMNCH
TUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.072654634750002,,,,,25.335722049,,,,,27.502917265849998,,,,,22.68955900675,,,,,19.002124581055554,,,,,,28.451351218722223,,,,77.0,61.0,61.0,62.0,63.0,66.0,66.0,67.0,67.0,67.0,68.0,69.0,69.0,70.0,70.0,72.0,73.0,73.0,74.0,75.0,75.0,76.0,75.0,76.0,76.0,65.0,65.0,65.0,65.0,74.0,71.0,70.0,69.0,70.0,70.0,71.0,72.0,72.0,70.0,75.0,73.0,71.0,71.0,73.0,74.0,75.0,73.0,74.0,73.0,78.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,94.0,95.0,96.0,97.0,98.0,45.0,46.0,47.0,48.0,48.0,49.0,50.0,51.0,51.0,52.0,52.0,53.0,54.0,54.0,54.0,55.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,57.0,59.0,61.0,62.0,64.0,65.0,66.0,68.0,68.0,68.0,69.0,69.0,69.0,69.0,71.0,74.0,76.0,78.0,80.0,82.0,82.0,81.0,81.0,81.0,81.0
TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.238827623312499,9.744496546625,11.384663190625,11.7612331434375,11.595039889312499,11.601528674375,12.283522468125,13.0127928516875,14.036671031187499,14.0197588689375,12.569843614625,15.42129473395,14.549361242166665,12.027971545888889,11.205536458222221,,,,,,,,,54.0,64.0,65.0,65.0,66.0,66.0,67.0,68.0,69.0,69.0,70.0,71.0,72.0,74.0,74.0,74.0,75.0,75.0,76.0,75.0,76.0,77.0,77.0,77.0,77.0,68.0,68.0,68.0,68.0,69.0,69.0,70.0,72.0,72.0,73.0,74.0,79.0,83.0,83.0,82.0,84.0,86.0,87.0,83.0,85.0,92.0,91.0,90.0,89.0,87.0,87.0,87.0,88.0,89.0,90.0,91.0,91.0,92.0,93.0,93.0,94.0,95.0,95.0,96.0,96.0,97.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,50.0,51.0,51.0,51.0,52.0,52.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,58.0,59.0,59.0,62.0,63.0,64.0,65.0,65.0,66.0,67.0,68.0,68.0,69.0,69.0,70.0,70.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0
TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41104394199999994,,,,,,,,,,62.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,62.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,65.0,64.0,63.0,64.0,63.0,63.0,65.0,65.0,65.0,89.0,89.0,89.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,94.0,89.0,87.0,90.0,85.0,79.0,80.0,78.0,75.0,81.0,81.0,81.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,85.0,85.0,86.0,86.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0,29.0,29.0,30.0,31.0,32.0,32.0,33.0,34.0,34.0,35.0,35.0,36.0,37.0,37.0,37.0,38.0,38.0,39.0,39.0,39.0,39.0,40.0,40.0,40.0,54.0,55.0,55.0,55.0,56.0,56.0,56.0,57.0,57.0,57.0,58.0,59.0,60.0,59.0,59.0,60.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,62.0
TZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.56161493722223,,,,,,,48.85001182561111,,,,18.20808159115,,,,,,,27.79257617005,,33.00570871963158,,,,,86.0,20.0,21.0,22.0,23.0,25.0,27.0,29.0,31.0,32.0,36.0,39.0,42.0,43.0,42.0,38.0,42.0,43.0,44.0,42.0,44.0,45.0,46.0,47.0,49.0,23.0,23.0,23.0,22.0,21.0,21.0,20.0,21.0,21.0,22.0,24.0,25.0,27.0,29.0,26.0,27.0,26.0,26.0,23.0,26.0,27.0,27.0,30.0,34.0,3.0,3.0,4.0,5.0,7.0,9.0,12.0,15.0,16.0,23.0,29.0,35.0,35.0,30.0,22.0,32.0,39.0,40.0,38.0,38.0,41.0,42.0,43.0,43.0,42.0,44.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,66.0,67.0,67.0,55.0,56.0,57.0,57.0,57.0,56.0,58.0,58.0,59.0,61.0,63.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0
UGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.383547609636366,,,43.01234030727273,,,46.30455225172727,,,,38.911059466454546,,,37.265566349000004,,,,33.77490897618182,,,31.815922780363636,,,,,,71.0,24.0,24.0,24.0,25.0,26.0,28.0,31.0,34.0,36.0,36.0,40.0,39.0,38.0,47.0,49.0,49.0,49.0,51.0,49.0,49.0,52.0,53.0,52.0,54.0,22.0,22.0,22.0,22.0,22.0,27.0,27.0,27.0,26.0,26.0,28.0,33.0,30.0,36.0,35.0,37.0,37.0,36.0,32.0,37.0,39.0,41.0,42.0,41.0,6.0,6.0,6.0,6.0,7.0,8.0,10.0,15.0,18.0,18.0,23.0,18.0,17.0,32.0,38.0,36.0,35.0,41.0,40.0,34.0,39.0,39.0,34.0,42.0,50.0,51.0,53.0,54.0,55.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,67.0,68.0,69.0,70.0,70.0,71.0,71.0,71.0,52.0,53.0,54.0,55.0,56.0,56.0,57.0,58.0,59.0,61.0,62.0,64.0,64.0,64.0,64.0,65.0,65.0,65.0,66.0,66.0,67.0,68.0,69.0,69.0
UKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.780741557375002,17.9681490586875,17.456378906999998,14.376173920875,14.430651001625,14.811488911375,13.066225953375,13.8220641015625,12.1976248473125,11.843358769937499,13.313288074799999,12.494140796375,13.1058923901,13.037491803909091,14.932340318454544,13.445116595818183,14.587922768272728,13.51444147409091,,,,,,77.0,70.0,71.0,71.0,72.0,73.0,74.0,74.0,75.0,76.0,76.0,76.0,77.0,78.0,78.0,78.0,78.0,77.0,75.0,79.0,78.0,79.0,79.0,79.0,80.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,90.0,79.0,91.0,87.0,88.0,87.0,88.0,91.0,93.0,93.0,93.0,93.0,92.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,39.0,40.0,41.0,42.0,43.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,57.0,58.0,58.0,59.0,68.0,69.0,69.0,70.0,72.0,72.0,73.0,73.0,74.0,73.0,73.0,74.0,76.0,76.0,72.0,73.0,72.0,76.0,77.0,78.0,78.0,78.0,78.0,78.0
UNSDG_CENTRALASIASOUTHERNASIA,425.52350536600005,428.57503739333333,426.8139654583333,426.25955576166666,407.759380082,425.5851028463333,444.52467215766666,405.41921254566665,424.95754634099995,444.550932289,458.89943030600006,475.69982559899995,435.041926957,444.45504444833324,444.0995159793333,442.2397934433333,444.64566222966664,427.61270997566663,422.082156518,437.37339126566667,449.9884610743333,443.411106755,429.71878100666663,,,,,,,,,,,,,,,27.725116007999997,27.402900612666667,26.79863016733333,26.294449960999998,24.714415442,25.360810551333334,26.05690168066667,23.393525518999997,24.152308116,24.882933461999997,25.299862759333333,25.84142715733334,23.298686187333335,23.481587226666665,23.159054712333333,22.777467414,22.623124195,21.494245492999998,20.966269479,21.474279899,21.844712325000003,21.306264730333332,20.445186295333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_EASTERNASIASOUTHEASTERNASIA,525.347417025,561.3325901843333,566.2598563853334,552.427513312,537.4132743423334,520.7746752716668,505.973656413,493.0799902416666,512.08398514,505.9405107943333,501.76325123099997,490.30951270199995,486.0816753663333,466.24244909099997,463.82289602966665,458.87081513799995,452.7565360456667,451.2654105663333,455.05877195700003,433.8816362253333,430.8018093073333,419.183239729,416.8305497746667,,,,,,,,,,,,,,,26.218045898666663,27.769489769333333,27.788683419333335,26.903690512,25.978307203666663,24.985495435333334,24.089891836000003,23.294812394999997,24.004063333333335,23.52860517266667,23.148165184666667,22.443354801999998,22.069912599000002,20.998429039666664,20.730937047,20.364299245,19.955808427,19.754624048666667,19.804482125333333,18.794001023666667,18.594225456333334,18.055147141333332,17.930176558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_EUROPE,69.59148333566667,65.78732384033333,67.80916276633333,67.81323425433334,67.654296746,65.34542280800001,63.422592551,62.60833792033333,61.184195093666666,61.73478733100001,56.60963155433334,59.34235074900001,60.60650986800001,60.015547178,59.055388660999995,59.935732562,63.859195026,60.94689240066666,60.71413819200001,61.32467838366667,58.761601172666666,60.39465383133333,63.19020977233333,,,,,,,,,,,,,,,9.580839488333334,9.056412617333335,9.323456635,9.307981946333333,9.275046113666667,8.948638953,8.677680558333334,8.552016562,8.338584782,8.397686533333333,7.687807797666667,8.045693481333332,8.205018536666666,8.114013645,7.971505491333333,8.072615176666666,8.580448250666665,8.173543923666665,8.129943269666667,8.201243321333333,7.858223369,8.086350979333334,8.479105965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_EUROPENORTHERNAMR,89.50957168500001,85.00901880633333,87.78591655333334,86.45391679233335,86.38614010533333,85.18900982333334,82.38349463533332,81.20314151233333,80.11348095333334,80.50837608799999,75.818816309,80.28103639833334,81.173002381,80.81818587533333,79.50488747066667,77.88148547133333,81.837981911,79.69808022166667,80.42485747966667,80.78483042466667,76.92620013599999,78.70901507433332,82.21538678266667,,,,,,,,,,,,,,,8.616125875666667,8.157982637666667,8.392203708333334,8.230420406333332,8.192396288,8.048010854666666,7.7538465069999996,7.609340625666667,7.471227883666667,7.474436370666667,7.008955495333333,7.389953429999999,7.441493525333333,7.379421183000001,7.229646807999999,7.050193439666667,7.373462179,7.149096894,7.1854491073333335,7.19079623,6.834807638333333,6.992543548333334,7.303308820666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_LAC,77.205813348,77.40274665233333,77.773585418,78.33850340166667,83.58609570366667,82.57644013266666,81.35261516999999,80.37685616133332,81.655096564,80.01109512199999,79.31026758066666,79.21138995866666,79.55645354400001,81.25239745266667,79.39899823533334,80.71995306566667,80.200380386,85.45014885833332,82.30472704133332,84.373252218,81.38200228533334,86.22063900666667,88.42098717133335,,,,,,,,,,,,,,,14.809582684666667,14.642255238999999,14.517005280333331,14.435276312666666,15.21146882,14.846212065000001,14.453567928333333,14.114376053666666,14.175023900999998,13.734740941333333,13.467347569,13.307410694666666,13.224651860333333,13.367453697333334,12.931112181666668,13.018452524999999,12.813145719,13.529682187666666,12.920432648333332,13.138249679333333,12.583625240666668,13.255225355999999,13.512450207333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_LDC,196.11208694266665,195.69108175633335,199.1529867203333,202.49025589,203.31844907466666,205.705072215,206.36164111566669,209.14697924200001,209.07848033933337,209.42479041433333,210.78449682533332,213.24188713866667,223.19234674133335,220.50522278766667,227.443118722,228.96765599533333,230.56236847266666,233.897742224,240.76146000466665,240.85055162733332,250.39957502133333,251.90889264933332,261.70982344866667,,,,,,,,,,,,,,,29.112726315666666,28.366008635333333,28.158112607000003,27.92538520733333,27.374920583666665,27.04007083,26.482762845666667,26.224800234666663,25.613946198666667,25.060191798,24.643123759999998,24.351435648333336,24.89083225366667,24.013123668333332,24.188764891666665,23.788643207666667,23.397490709666666,23.181294052,23.304525753999997,22.764411753333334,23.107348313666666,22.711369446666666,23.06655608466666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_LLDC,85.35191285566667,85.94712636966666,85.88607314466667,88.96786160700002,89.65548053399999,90.15443244,89.33554730466666,88.20433669533332,89.13405964066668,90.37838547933335,92.16725503100001,95.22086048566666,97.41932476833334,99.50204387833332,99.95060153766667,98.75305084066667,97.06857939766667,93.54729381566666,96.41619795166667,98.45383550899999,101.24446982266666,101.63188357533333,102.64740164333334,,,,,,,,,,,,,,,25.247788637333333,24.900428582999997,24.294395381333334,24.542079416000004,24.149509821333336,23.714300729666665,22.93823739833333,22.134744337,21.852722248333333,21.626101522333332,21.528827159666672,21.698250979333334,21.662000704000004,21.605791824333334,21.204440097333332,20.483950592,19.693972895333335,18.56800936666667,18.705617756,18.644785136333336,18.709455061333333,18.348692653666664,18.131452448666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_NORTHERNAMR,19.918088349333335,19.221695299333334,19.976753620333334,18.640682371333334,18.731843526000002,19.843586848666664,18.960902250999997,18.594804092,18.929286026666666,18.773589090333335,19.209185088,20.938685649333333,20.566492346333334,20.802639031000002,20.44949864266667,17.945752909666666,17.978786718,18.751188154333335,19.710719287333333,19.460152207666667,18.164599129333336,18.314360909333335,19.025176510333335,,,,,,,,,,,,,,,6.373788624333334,6.090181426333333,6.267316943666667,5.791371065,5.762854286,6.044665711666667,5.717742748666666,5.549656789,5.591357918333333,5.4897397303333335,5.561656346666667,6.003285242666666,5.840027715000001,5.8511586939999995,5.698218174333334,4.954459248,4.916828435666667,5.079712972,5.291790303333333,5.179717816,4.808828991666666,4.835577452666667,5.000285825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_OCEANIA,2.9416253483333334,3.6435417379999997,3.841768439333333,3.9208207949999996,3.862827815333333,3.990653653666667,3.9247526809999997,3.903797369333333,3.099590628,3.407980879,3.274714472,3.227062671666667,3.3509108106666665,3.4248168603333333,3.842801640333333,3.5326440303333335,3.8978089343333333,3.913269712,4.027024475,4.100382982666667,4.230826826,4.501530098,4.378603891,,,,,,,,,,,,,,,9.382389263333334,11.440808252333333,11.869879991333335,11.919477059333333,11.558864857000001,11.752475814999999,11.362908530333334,11.093578600666666,8.636354192,9.313152946333334,8.790290665,8.516976824333334,8.692337500999999,8.729295924666667,9.626634526666667,8.697948692999999,9.427083667666666,9.296577935333334,9.405605255333333,9.425259714333334,9.598288083666667,10.102582888999999,9.719571999333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_SIDS,8.330697600999999,9.308850469333334,9.332697238333333,9.320435802333334,9.358644857333333,9.472276908666666,9.458374686333334,9.000764096,7.825200339666668,8.250804283666668,8.295284647333334,8.073069492,8.020035538333333,8.144076131333334,8.712036768333332,8.372633288333333,8.393897658333334,8.384763664,8.056712285666668,8.516132852333334,9.084536975333334,9.391463285333334,9.373157064,,,,,,,,,,,,,,,14.910567269333333,16.42230822233333,16.247225885333336,16.033959513000003,15.909628149,15.899822662,15.666332913,14.70172822,12.602602546,13.113403944333333,13.032116202,12.540161837666666,12.311566146333334,12.362541645333332,13.085744978,12.448079085333333,12.359491228000001,12.246487983,11.661961705000001,12.209954581,12.929217032333334,13.278405264999998,13.138230511666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_SUBSAHARANAFRICA,200.63239247033334,200.63926963733334,204.708268499,203.0355529773333,203.11071063,214.33401836200002,209.07063043500003,216.07661235066666,214.6689008883333,218.32619605800002,220.43795232866668,223.78725799433334,233.21082258166666,234.61987466033335,247.86455590533333,253.76346671033332,255.07198750566667,252.17513547666667,257.11142190466666,259.316364378,268.72991524766667,271.18402759966665,278.52280259133335,,,,,,,,,,,,,,,30.630278957,29.82078245,29.615679717666666,28.587110815,27.825870632666668,28.567867929,27.110998871000003,27.25740035933333,26.339939895,26.060297090000002,25.594308400333333,25.274003218,25.623962619,25.078129110333332,25.78472582266667,25.700004985000003,25.160751688,24.237029902,24.073834275333336,23.659514747333333,23.897263789000004,23.514333715000003,23.560425468000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNSDG_WESTERNASIANORTHERNAFR,48.0075538946,49.2937975226,49.865909718,51.2619020428,54.2617176234,53.5353685336,55.85943802640001,55.0353969648,52.1897431882,52.8501061896,54.465325025800006,55.078933501799995,55.357182299200005,58.9986011062,62.8251237844,61.934952090399996,64.547286411,69.41975987020001,67.95020472040001,70.0640402032,70.135557697,71.6634304342,74.4152435328,,,,,,,,,,,,,,,13.2449353594,13.323807929400001,13.207309772799999,13.308510635800001,13.810240361000002,13.351915748600002,13.646074192399999,13.1592947224,12.207237957,12.0969436496,12.2097487792,12.0937748114,11.8976718992,12.4051028804,12.914847834,12.447469487000001,12.705540097,13.414140965799998,12.907077648000001,13.087927032,12.8937714188,12.972471063399999,13.231526849400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.142588430111111,,,,,,,,,,13.114798736727272,,,,,,,,,,,13.069550803076924,,,,,,,,,69.0,73.0,73.0,74.0,75.0,76.0,77.0,77.0,77.0,77.0,79.0,82.0,83.0,83.0,84.0,84.0,84.0,84.0,85.0,85.0,85.0,85.0,83.0,84.0,85.0,74.0,74.0,74.0,77.0,80.0,80.0,79.0,79.0,78.0,82.0,96.0,96.0,96.0,96.0,95.0,94.0,94.0,95.0,95.0,94.0,93.0,87.0,89.0,91.0,93.0,93.0,93.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,55.0,56.0,56.0,57.0,58.0,59.0,60.0,61.0,61.0,62.0,62.0,63.0,64.0,64.0,65.0,65.0,65.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
