COUNTRY/REGION,YEAR,IndicatorCode,NumericValue
SEAR_W_IDN,2016,FINANCIALHARDSHIP_MILLIONOFPOP,61.402392
GLOBAL,2022,FINANCIALHARDSHIP_MILLIONOFPOP,2087.279041058
SEAR_W_IDN,2015,FINANCIALHARDSHIP_MILLIONOFPOP,676.693222664
WPR_WO_IDN,2014,FINANCIALHARDSHIP_MILLIONOFPOP,576.719236144
WB_NAR,2013,FINANCIALHARDSHIP_MILLIONOFPOP,22.404714966
EUR,2007,FINANCIALHARDSHIP_MILLIONOFPOP,81.598596116
NC,2010,FINANCIALHARDSHIP_MILLIONOFPOP,3.278923277
RC_ECA,2008,FINANCIALHARDSHIP_MILLIONOFPOP,48.816508
UNSDG_SIDS,2012,FINANCIALHARDSHIP_MILLIONOFPOP,1.94755175
WB_UMI,2020,FINANCIALHARDSHIP_MILLIONOFPOP,156.94216
RC_ECLAL,2001,FINANCIALHARDSHIP_MILLIONOFPOP,97.712153864
EUR,2007,FINANCIALHARDSHIP_MILLIONOFPOP,117.740791616
WB_SSA,2019,FINANCIALHARDSHIP_MILLIONOFPOP,17.935096
UNSDG_CENTRALASIASOUTHERNASIA,2022,FINANCIALHARDSHIP_MILLIONOFPOP,169.958272
RC_ECA,2005,FINANCIALHARDSHIP_MILLIONOFPOP,330.135851973
UNSDG_OCEANIA,2015,FINANCIALHARDSHIP_MILLIONOFPOP,1.29841675
WB_UMI,2004,FINANCIALHARDSHIP_MILLIONOFPOP,108.646587771
WPR_WO_IDN,2004,FINANCIALHARDSHIP_MILLIONOFPOP,52.00046
EMR,2020,FINANCIALHARDSHIP_MILLIONOFPOP,217.733927266
WB_LMI,2001,FINANCIALHARDSHIP_MILLIONOFPOP,86.179864
WB_MNA,2020,FINANCIALHARDSHIP_MILLIONOFPOP,142.415774785
UNSDG_LAC,2016,FINANCIALHARDSHIP_MILLIONOFPOP,20.892422
GLOBAL,2006,FINANCIALHARDSHIP_MILLIONOFPOP,316.238656
WB_LMI,2002,FINANCIALHARDSHIP_MILLIONOFPOP,883.740042587
WB_HI,2010,FINANCIALHARDSHIP_MILLIONOFPOP,103.07056524
AFR,2015,FINANCIALHARDSHIP_MILLIONOFPOP,331.631008151
WB_LAC,2016,FINANCIALHARDSHIP_MILLIONOFPOP,120.301240776
WB_SAR,2016,FINANCIALHARDSHIP_MILLIONOFPOP,422.519598107
WB_EAP,2002,FINANCIALHARDSHIP_MILLIONOFPOP,704.776199244
WB_MNA,2001,FINANCIALHARDSHIP_MILLIONOFPOP,134.106214836
UNSDG_NORTHERNAMR,2009,FINANCIALHARDSHIP_MILLIONOFPOP,21.84389673
RC_ECE,2015,FINANCIALHARDSHIP_MILLIONOFPOP,33.759392
WB_UMI,2014,FINANCIALHARDSHIP_MILLIONOFPOP,137.953568
UNSDG_SIDS,2022,FINANCIALHARDSHIP_MILLIONOFPOP,14.059735648
UNSDG_OCEANIA,2021,FINANCIALHARDSHIP_MILLIONOFPOP,4.795360019
EMR,2019,FINANCIALHARDSHIP_MILLIONOFPOP,216.272756813
WB_SAR2,2010,FINANCIALHARDSHIP_MILLIONOFPOP,661.464918367
WB_SAR2,2019,FINANCIALHARDSHIP_MILLIONOFPOP,51.279112
GLOBAL,2000,FINANCIALHARDSHIP_MILLIONOFPOP,286.862432
UNSDG_LDC,2000,FINANCIALHARDSHIP_MILLIONOFPOP,255.213586204
WB_MNA,2010,FINANCIALHARDSHIP_MILLIONOFPOP,123.171817895
UNSDG_OCEANIA,2022,FINANCIALHARDSHIP_MILLIONOFPOP,1.703398125
WB_MNA,2019,FINANCIALHARDSHIP_MILLIONOFPOP,137.485440734
RC_ECLAL,2019,FINANCIALHARDSHIP_MILLIONOFPOP,103.29951094
UNSDG_EUROPENORTHERNAMR,2022,FINANCIALHARDSHIP_MILLIONOFPOP,91.487306646
WB_SSA,2018,FINANCIALHARDSHIP_MILLIONOFPOP,371.993064262
GLOBAL,2021,FINANCIALHARDSHIP_MILLIONOFPOP,175.064768
WB_LMI,2018,FINANCIALHARDSHIP_MILLIONOFPOP,807.971623146
WB_LMI,2013,FINANCIALHARDSHIP_MILLIONOFPOP,165.954672
UNSDG_LAC,2011,FINANCIALHARDSHIP_MILLIONOFPOP,98.410908886
UNSDG_SIDS,2021,FINANCIALHARDSHIP_MILLIONOFPOP,10.965207968
UNSDG_LLDC,2000,FINANCIALHARDSHIP_MILLIONOFPOP,128.027869063
WB_LAC,2008,FINANCIALHARDSHIP_MILLIONOFPOP,9.063199
WB_SAR,2008,FINANCIALHARDSHIP_MILLIONOFPOP,526.83419275
RC_ECLAL,2010,FINANCIALHARDSHIP_MILLIONOFPOP,99.044284206
WB_EAP,2019,FINANCIALHARDSHIP_MILLIONOFPOP,68.231312
WB_ECA,2006,FINANCIALHARDSHIP_MILLIONOFPOP,9.609493
WB_UMI,2008,FINANCIALHARDSHIP_MILLIONOFPOP,178.113495994
SEAR_W_IDN,2011,FINANCIALHARDSHIP_MILLIONOFPOP,125.10348
WB_SAR,2022,FINANCIALHARDSHIP_MILLIONOFPOP,15.748684
RC_ESCAP,2014,FINANCIALHARDSHIP_MILLIONOFPOP,1404.886009802
UNSDG_CENTRALASIASOUTHERNASIA,2009,FINANCIALHARDSHIP_MILLIONOFPOP,109.203376
WB_MNA,2018,FINANCIALHARDSHIP_MILLIONOFPOP,197.13094257
UNSDG_EUROPENORTHERNAMR,2020,FINANCIALHARDSHIP_MILLIONOFPOP,115.389300656
UNSDG_LAC,2007,FINANCIALHARDSHIP_MILLIONOFPOP,100.626916076
WB_UMI,2018,FINANCIALHARDSHIP_MILLIONOFPOP,169.897504
EUR,2017,FINANCIALHARDSHIP_MILLIONOFPOP,11.863562
WB_SAR2,2000,FINANCIALHARDSHIP_MILLIONOFPOP,609.130576266
WPR_WO_IDN,2005,FINANCIALHARDSHIP_MILLIONOFPOP,651.345506552
WB_SAR,2001,FINANCIALHARDSHIP_MILLIONOFPOP,443.642310145
RC_ESCWA,2012,FINANCIALHARDSHIP_MILLIONOFPOP,68.693592266
WPR_WO_IDN,2009,FINANCIALHARDSHIP_MILLIONOFPOP,524.331829458
RC_ECE,2008,FINANCIALHARDSHIP_MILLIONOFPOP,31.087704
WB_LAC,2010,FINANCIALHARDSHIP_MILLIONOFPOP,19.920866
WB_SAR,2022,FINANCIALHARDSHIP_MILLIONOFPOP,522.882919016
EUR,2001,FINANCIALHARDSHIP_MILLIONOFPOP,104.102132732
WB_LAC,2021,FINANCIALHARDSHIP_MILLIONOFPOP,91.449718512
EUR,2012,FINANCIALHARDSHIP_MILLIONOFPOP,27.541372
AMR,2012,FINANCIALHARDSHIP_MILLIONOFPOP,150.178205909
WB_MNA2,2009,FINANCIALHARDSHIP_MILLIONOFPOP,64.730706871
WPR_WO_IDN,2008,FINANCIALHARDSHIP_MILLIONOFPOP,111.788448
AFR,2002,FINANCIALHARDSHIP_MILLIONOFPOP,34.126172
RC_ESCAP,2001,FINANCIALHARDSHIP_MILLIONOFPOP,181.599184
UNSDG_CENTRALASIASOUTHERNASIA,2019,FINANCIALHARDSHIP_MILLIONOFPOP,502.042901367
NC,2020,FINANCIALHARDSHIP_MILLIONOFPOP,1.05511575
UNSDG_EASTERNASIASOUTHEASTERNASIA,2009,FINANCIALHARDSHIP_MILLIONOFPOP,127.667384
UNSDG_EASTERNASIASOUTHEASTERNASIA,2016,FINANCIALHARDSHIP_MILLIONOFPOP,544.295319824
EMR,2000,FINANCIALHARDSHIP_MILLIONOFPOP,31.6981
WB_SAR2,2013,FINANCIALHARDSHIP_MILLIONOFPOP,643.157043281
WB_SAR,2005,FINANCIALHARDSHIP_MILLIONOFPOP,92.395024
RC_ECLAL,2015,FINANCIALHARDSHIP_MILLIONOFPOP,21.648106
UNSDG_LDC,2001,FINANCIALHARDSHIP_MILLIONOFPOP,32.25928
WB_HI,2014,FINANCIALHARDSHIP_MILLIONOFPOP,148.25000751
EMR,2011,FINANCIALHARDSHIP_MILLIONOFPOP,187.670026383
AFR,2013,FINANCIALHARDSHIP_MILLIONOFPOP,28.699656
NC,2002,FINANCIALHARDSHIP_MILLIONOFPOP,2.298765008
SEAR_W_IDN,2020,FINANCIALHARDSHIP_MILLIONOFPOP,473.205446012
WB_HI,2011,FINANCIALHARDSHIP_MILLIONOFPOP,74.133368768
WB_LAC,2000,FINANCIALHARDSHIP_MILLIONOFPOP,115.809444813
RC_ESCWA,2008,FINANCIALHARDSHIP_MILLIONOFPOP,68.81235043
